Portfolio,Geography,Category,Brand,Segment,Initial Sales,Margin,Min Trend,Max Trend,Min Contribution,Max Contribution
ACME,Africa,Hair,Balmain,Mascara,523959,46,-0.03479401240053752,0.06916141453140337,0.08006437895080411,0.18390340600453403
ACME,Europe,Skincare,Balmain,Mascara,222996,43,-0.08653408386155431,0.05074587279835238,0.01507403721614972,0.1796385576280279
ACME,Europe,Fragrance,Balmain,Fragrance,909105,43,-0.04813849683646659,0.1516809680702998,0.05725574831716261,0.4762581373442095
ACME,Africa,Skincare,Elizabeth Arden,Face Cream,509479,12,-0.023192601418938003,0.13248625806907424,0.017503980660876547,0.40461661923044356
ACME,Africa,Hair,Balmain,Toner,421998,26,-0.08357020160475277,0.09964443565376727,0.08535608731526365,0.37849223740965754
ACME,Africa,Skincare,Bobbi Brown,Foundation,586070,23,-0.024674046140418127,0.07534582250568356,0.06517125649467746,0.19557152683114346
ACME,North America,Tools,Frederic Malle,Hair Dye,475360,23,-0.02392054908466021,0.12000729836058534,0.025520422021576165,0.1474293732163802
ACME,Asia,Makeup,Elizabeth Arden,Hair Dye,720373,47,-0.09400733517695452,0.06504297087183586,0.01186672085255807,0.44833304851414
ACME,North America,Hair,Aveda,Bronzer,907148,44,-0.09812156739128182,0.10041627338317147,0.012842291093177857,0.10235182773698037
ACME,Asia,Hair,Balmain,Foundation,511525,10,-0.002606459401180511,0.10688178593534517,0.055662892485834684,0.25523856948040785
ACME,North America,Hair,Frederic Malle,Eye Liner,914462,38,-0.0806617340501175,0.11984280422569434,0.07609361308090964,0.21104500118453343
ACME,South America,Hair,Frederic Malle,Bronzer,868468,13,-0.017786079089989706,0.11999311270082703,0.020875640620056327,0.32815048013952947
ACME,Asia,Skincare,Elizabeth Arden,Bronzer,307486,42,-0.04381493469547015,0.08855084652114159,0.029915565932346178,0.20020337435433389
ACME,Europe,Tools,Aveda,Mascara,95745,26,-0.07355278424630032,0.17753164724029818,0.039453395065257905,0.2244821437313232
ACME,Asia,Fragrance,Bobbi Brown,Foundation,948481,37,-0.08700295633811875,0.10333152593851185,0.029626910385503774,0.44001594199727745
ACME,Asia,Tools,Frederic Malle,Toner,244648,35,-0.050332272642227255,0.08443809633387746,0.04522029064184428,0.3412755293618075
ACME,Asia,Hair,Frederic Malle,Bronzer,329540,17,-0.05926451883705502,0.07637148251158854,0.060365350518856865,0.15827301093174737
ACME,South America,Skincare,Frederic Malle,Face Cream,124836,43,-0.030111391488293213,0.09838675917550035,0.07164430734171784,0.3905886173983326
ACME,North America,Skincare,Frederic Malle,Eye Liner,116998,27,-0.009583145045227323,0.06013293244663016,0.09673976639865056,0.18298368059195136
ACME,Europe,Hair,Elizabeth Arden,Eye Liner,60021,40,-0.01947519130365616,0.05493612844714575,0.09377593027148752,0.2732019720449921
ACME,North America,Skincare,Aveda,Bronzer,472273,36,-0.07255479497951882,0.14077132952043017,0.06131142773460231,0.3586428947357173
ACME,North America,Hair,Frederic Malle,Face Cream,530410,25,-0.012106678154769429,0.14287207040737854,0.07607350508107193,0.2087718149829949
ACME,Africa,Tools,Bobbi Brown,Lipstick,140672,19,-0.016660868589539593,0.12943823039574348,0.09557849841628852,0.2536427258703169
ACME,South America,Makeup,Bobbi Brown,Fragrance,390703,49,-0.007086376627823174,0.16434277928475866,0.017512475008726436,0.39365983892166034
ACME,Africa,Skincare,Balmain,Fragrance,863268,21,-0.054133917896201235,0.0558725816415617,0.010507128387528623,0.4751643813697374
ACME,South America,Hair,Frederic Malle,Fragrance,954579,31,-0.023142482759060154,0.1903959662314202,0.012681978735662494,0.3116980227837892
ACME,North America,Hair,Frederic Malle,Mascara,754875,25,-0.04083419344763296,0.06425976848855908,0.060701442613566754,0.1039883886226491
ACME,North America,Skincare,Frederic Malle,Eye Liner,434018,21,-0.06894972474505168,0.15110344915903906,0.07865500827722807,0.2353855004967322
ACME,South America,Fragrance,Frederic Malle,Hair Dye,743121,20,-0.000556899745723663,0.0700094883411214,0.04303674556705312,0.2594537339382138
ACME,North America,Hair,Frederic Malle,Hair Dye,611305,29,-0.09616925331603388,0.1819858149961689,0.059071525725485685,0.23566944800089762
ACME,North America,Skincare,Bobbi Brown,Mascara,489969,10,-0.08377274274409253,0.1266069930417547,0.05647296866936832,0.2745075444462251
ACME,Europe,Hair,Aveda,Bronzer,775709,36,-0.010745763746810508,0.06234403115269641,0.01852938024328176,0.35306650152735986
ACME,Africa,Fragrance,Aveda,Foundation,721182,12,-0.09394371565873666,0.14250861690501104,0.03894294378016441,0.14845121079910129
ACME,Africa,Makeup,Balmain,Foundation,454819,21,-0.011317933265647825,0.051366491582330254,0.01174916396640718,0.2090522035470022
ACME,Africa,Fragrance,Bobbi Brown,Fragrance,374833,39,-0.028477852394179923,0.1664033267660367,0.019963511992585982,0.30305923440704985
ACME,Asia,Tools,Frederic Malle,Foundation,90291,18,-0.09633159946054577,0.14758774799691854,0.08306724006188,0.22622932327199005
ACME,Europe,Skincare,Aveda,Bronzer,886882,46,-0.05706799571458235,0.0818937124045261,0.08464721475234871,0.4964341352541438
ACME,Africa,Fragrance,Elizabeth Arden,Lipstick,700952,10,-0.02455285249977629,0.10621263742641407,0.08217516880405627,0.2725725868149953
ACME,Africa,Makeup,Elizabeth Arden,Mascara,590294,13,-0.041689971536920035,0.05117100417333354,0.0754136776857013,0.44791966143688655
ACME,Europe,Hair,Elizabeth Arden,Lipstick,953773,24,-0.00641287080355421,0.15405257224568075,0.08139815617599117,0.4586039342455458
ACME,North America,Skincare,Frederic Malle,Eye Liner,638556,36,-0.013235596708800007,0.0984002206264579,0.07038841071425667,0.43440279988894004
ACME,Africa,Fragrance,Frederic Malle,Foundation,322282,17,-0.06673523646658541,0.1357383372945079,0.07028500049346598,0.11875929637806713
ACME,North America,Makeup,Balmain,Fragrance,596686,32,-0.09153728044799098,0.19350914418716947,0.07006256177426273,0.47909869264534055
ACME,Africa,Fragrance,Balmain,Mascara,231163,24,-0.00557429603543487,0.09492000694213776,0.05626385107103838,0.15149702485327077
ACME,South America,Tools,Balmain,Fragrance,685234,36,-0.048271323223207346,0.19853568261309779,0.04270125101183601,0.11376145108571781
ACME,Asia,Skincare,Elizabeth Arden,Foundation,853660,40,-0.09256023756280515,0.14490925790113499,0.07571757395453994,0.265747843162623
ACME,Africa,Hair,Frederic Malle,Toner,859102,48,-0.01834243866407205,0.08631329994282574,0.03687814122280675,0.17785361310314243
ACME,South America,Makeup,Elizabeth Arden,Foundation,135613,17,-0.013149352931460884,0.11551668245318868,0.058861191832985736,0.17367861186529449
ACME,Europe,Fragrance,Balmain,Mascara,112071,39,-0.0360575359823429,0.16106796835753848,0.049002005819609326,0.21512784535046026
ACME,South America,Skincare,Frederic Malle,Hair Dye,515096,27,-0.05524910343136601,0.1169716861524622,0.0348960049384331,0.19936224209874195
ACME,Europe,Fragrance,Bobbi Brown,Mascara,120572,13,-0.03378269876764273,0.060276135101232864,0.0977220928407217,0.37391816086006124
ACME,Africa,Skincare,Aveda,Face Cream,782054,31,-0.02933163042948765,0.07529054920738136,0.033287648068163755,0.17471092265442803
