Portfolio,Geography,Category,Brand,Segment,Sales,Margin,Min_Trend,Max_Trend,Min_Contribution,Max_Contribution
Hair/Body,North America,Hair,Brand A,Body Wash,6625,38,-0.04362634605519915,0.11867000114243227,0.09668626928850689,0.42412063722836557
Hair/Body,North America,Hair,Brand A,Conditioner,3418,35,-0.07086387690095255,0.15579758567962704,0.09788759355729101,0.4557789226774636
Hair/Body,North America,Hair,Brand B,Soap,6639,58,-0.09270186359502963,0.22482873345927887,0.06560531526210786,0.4768813790918495
Hair/Body,North America,Hair,Brand B,Lotion,6459,34,-0.11462166483868642,0.1458713021385411,0.08325564466039506,0.37426995782736516
Hair/Body,North America,Hair,Brand C,Cream,6908,49,-0.07348183298918315,0.23796401100586012,0.05347871852826849,0.342759197041492
Hair/Body,North America,Hair,Brand C,Body Wash,5324,27,-0.0304821028165492,0.245926167783368,0.07934019175964332,0.4880443334551179
Hair/Body,North America,Hair,Brand D,Lotion,1542,18,-0.04712264253593268,0.22787671406151375,0.0899782300014505,0.309423362777819
Hair/Body,North America,Hair,Brand D,Shampoo,2879,58,-0.024366928730876675,0.2697898321962897,0.058045538261942344,0.40772829454168014
Hair/Body,North America,Hair,Brand E,Shampoo,7091,48,-0.041910871174106426,0.19998969505831354,0.07179157147509664,0.3761425076543284
Hair/Body,North America,Hair,Brand E,Body Wash,1262,50,-0.045606808113882985,0.2364698577242403,0.06212199847189088,0.32617544674996657
Hair/Body,North America,Body,Brand A,Lotion,7353,54,-0.13813066323233494,0.2866826984900779,0.05679663833497833,0.40861713961894086
Hair/Body,North America,Body,Brand A,Conditioner,8659,20,-0.11481459592776919,0.26064946535831,0.06376033155518783,0.2678746655308731
Hair/Body,North America,Body,Brand B,Soap,7281,16,-0.07840357199534373,0.208873119309371,0.07446790569440259,0.3069398275478771
Hair/Body,North America,Body,Brand B,Cream,6456,23,-0.09539489826936903,0.2154201236009497,0.05099105660473183,0.30789511572363054
Hair/Body,North America,Body,Brand C,Soap,3556,44,-0.08486790193762622,0.22756158986770264,0.09343958014008998,0.49287640988751014
Hair/Body,North America,Body,Brand C,Shampoo,1521,28,-0.12183541145036177,0.11181056231980778,0.09771215842390785,0.49966732186846236
Hair/Body,North America,Body,Brand D,Soap,5215,55,-0.05534529208483015,0.2703972275548674,0.099421005318344,0.21323003152833986
Hair/Body,North America,Body,Brand D,Perfume,6665,33,-0.11922084647985404,0.28473851970207287,0.09219153624195289,0.353543287749145
Hair/Body,North America,Body,Brand E,Conditioner,5266,39,-0.043258638878923866,0.1988830014534762,0.07422803661460459,0.3475744933581683
Hair/Body,North America,Body,Brand E,Lotion,9746,14,-0.0889517415899021,0.1278291301767134,0.06723460705973383,0.35169632019117214
Hair/Body,North America,Fragrance,Brand A,Body Wash,5169,51,-0.13093165981683508,0.10480732491975878,0.05122056937855616,0.31369245240006255
Hair/Body,North America,Fragrance,Brand A,Deodorant,4254,43,-0.0869193898888474,0.27649226408523786,0.06517951798420216,0.2767463558502404
Hair/Body,North America,Fragrance,Brand B,Conditioner,2743,57,-0.015214546170183307,0.1864957069790219,0.0874815137928534,0.35276888001491613
Hair/Body,North America,Fragrance,Brand B,Perfume,5840,39,-0.039727134811858286,0.15730063714788958,0.08607436633363966,0.4473452116246102
Hair/Body,North America,Fragrance,Brand C,Perfume,1376,26,-0.12794895290869504,0.22383474789954927,0.09498376389362945,0.3731846417349688
Hair/Body,North America,Fragrance,Brand C,Lotion,2277,39,-0.06880594250352608,0.2916945081486183,0.0744306381232003,0.2901859430962666
Hair/Body,North America,Fragrance,Brand D,Lotion,5435,14,-0.03629494116312758,0.19183668235750023,0.09762319236284987,0.35061033184841806
Hair/Body,North America,Fragrance,Brand D,Perfume,4515,18,-0.06529567563452812,0.12258884588163765,0.08571623434537595,0.444526178887367
Hair/Body,North America,Fragrance,Brand E,Deodorant,9761,25,-0.06364367148494227,0.19653257397602386,0.06485409047538876,0.2331608825683949
Hair/Body,North America,Fragrance,Brand E,Perfume,1620,41,-0.02307581431662728,0.18860803124729583,0.06446599398719127,0.31743918297360907
Hair/Body,North America,Skincare,Brand A,Cream,7209,16,-0.09200559547333534,0.257083505113733,0.0710536904674131,0.4587109049138097
Hair/Body,North America,Skincare,Brand A,Lotion,2975,55,-0.14413740705124398,0.26118903778314745,0.06151822500769528,0.40073645912195655
Hair/Body,North America,Skincare,Brand B,Perfume,3270,18,-0.07680712439118441,0.22338854730753321,0.05054702783551967,0.4883530124021279
Hair/Body,North America,Skincare,Brand B,Soap,4717,40,-0.11381532679805693,0.14943812410703797,0.09604170280400229,0.2136284703475512
Hair/Body,North America,Skincare,Brand C,Soap,2968,12,-0.14859169728890317,0.1755711128786413,0.05304115743279955,0.44350315741079205
Hair/Body,North America,Skincare,Brand C,Deodorant,5827,24,-0.09932815697580638,0.11029750451452942,0.08355556725518326,0.44046424877130025
Hair/Body,North America,Skincare,Brand D,Perfume,8520,12,-0.06092146088638303,0.13006026554968858,0.07340760900070284,0.20168735003718624
Hair/Body,North America,Skincare,Brand D,Cream,5302,30,-0.14344097289214597,0.1287012456321652,0.09913545317936617,0.40113300351955694
Hair/Body,North America,Skincare,Brand E,Perfume,2911,46,-0.05265778723189751,0.28549765453835896,0.09758621162593024,0.32396486063114777
Hair/Body,North America,Skincare,Brand E,Body Wash,9534,59,-0.08451837193084011,0.19828009064277458,0.05856242034945491,0.445820456076141
Hair/Body,Europe,Hair,Brand A,Perfume,3121,29,-0.07847588812088563,0.11180769311950756,0.08649629862227984,0.38550586091546135
Hair/Body,Europe,Hair,Brand A,Body Wash,2795,18,-0.07111017065064808,0.2387621304910285,0.05020061255027052,0.2955979859453437
Hair/Body,Europe,Hair,Brand B,Lotion,7653,38,-0.12944794640260676,0.2386477926508144,0.07705273546297844,0.26709643051937243
Hair/Body,Europe,Hair,Brand B,Cream,7128,21,-0.05376517956868042,0.28936786896431016,0.05386703960629582,0.4281063891929423
Hair/Body,Europe,Hair,Brand C,Conditioner,7000,13,-0.1120852752256219,0.26319564174674703,0.07863086389337161,0.23180249078394707
Hair/Body,Europe,Hair,Brand C,Cream,3939,14,-0.03007698791450744,0.2545890165117445,0.061061282405204136,0.2146347517653874
Hair/Body,Europe,Hair,Brand D,Lotion,4811,24,-0.0884655920778909,0.2280581001858926,0.05713418889499758,0.47293244854743544
Hair/Body,Europe,Hair,Brand D,Deodorant,8035,28,-0.039092075596479134,0.11658907374222356,0.0775487304854063,0.32052594747984725
Hair/Body,Europe,Hair,Brand E,Shampoo,4807,38,-0.103400233829405,0.24286463342920087,0.0519932155426981,0.43130170060049744
Hair/Body,Europe,Hair,Brand E,Body Wash,2708,56,-0.10865633705108063,0.17881669997510238,0.09492734250216382,0.4626088820883902
Hair/Body,Europe,Body,Brand A,Cream,8786,15,-0.12983224362368354,0.10713318995570086,0.05278443886745562,0.2679347790465252
Hair/Body,Europe,Body,Brand A,Body Wash,1282,57,-0.04530161141629668,0.2663118388035397,0.05402852987512074,0.46338886055023065
Hair/Body,Europe,Body,Brand B,Soap,2489,40,-0.08153523924214609,0.21734952894684068,0.07691371206749738,0.2882413536170774
Hair/Body,Europe,Body,Brand B,Perfume,8311,45,-0.12498459125021394,0.21790089305611837,0.09078587600332623,0.36994728313094444
Hair/Body,Europe,Body,Brand C,Shampoo,6670,56,-0.10286251872591473,0.23367990717568263,0.07903559812182337,0.33577479692565987
Hair/Body,Europe,Body,Brand C,Soap,6389,10,-0.05109056227266774,0.2442050702418709,0.0895177824124988,0.2845513889378796
Hair/Body,Europe,Body,Brand D,Cream,7872,49,-0.1419287832597817,0.10536637219719165,0.06123875631080393,0.3670754241683727
Hair/Body,Europe,Body,Brand D,Conditioner,2467,43,-0.14990627785770444,0.28795664647854036,0.05908130700745314,0.41331500335287313
Hair/Body,Europe,Body,Brand E,Cream,6040,51,-0.10937152965228768,0.13563209566826462,0.08275697513669186,0.4959964985514981
Hair/Body,Europe,Body,Brand E,Shampoo,6197,32,-0.028794789844228105,0.294389953880549,0.06732619072084739,0.20381256362139827
Hair/Body,Europe,Fragrance,Brand A,Shampoo,5643,38,-0.03272755078809059,0.11252730962020592,0.07395136509102228,0.34783075393246454
Hair/Body,Europe,Fragrance,Brand A,Cream,4423,48,-0.053439495733358267,0.2537689681072237,0.06486281096910383,0.21697478335032505
Hair/Body,Europe,Fragrance,Brand B,Cream,3422,50,-0.05994421764745364,0.15605856144719646,0.07690195135505332,0.47968272580560845
Hair/Body,Europe,Fragrance,Brand B,Body Wash,5644,10,-0.00571487326215217,0.20406437850301892,0.09357615667588973,0.29124778660413414
Hair/Body,Europe,Fragrance,Brand C,Soap,4003,19,-0.029336813121418365,0.28719128141100264,0.06487302464347935,0.3624165128367902
Hair/Body,Europe,Fragrance,Brand C,Cream,4651,45,-0.024176417157691282,0.22851011930184031,0.08524981618991886,0.2547917358114045
Hair/Body,Europe,Fragrance,Brand D,Lotion,6897,29,-0.03805171997367966,0.18990691672107604,0.05545795681179514,0.252572463749559
Hair/Body,Europe,Fragrance,Brand D,Perfume,6199,53,-0.11093756974992552,0.28219516835149894,0.059931496331806194,0.31596772081918933
Hair/Body,Europe,Fragrance,Brand E,Lotion,3284,13,-0.01061973257060922,0.14535474342235546,0.06763721471569026,0.21746949032780122
Hair/Body,Europe,Fragrance,Brand E,Perfume,6936,26,-0.004508285410584817,0.17480667868394922,0.07968576270284022,0.4908399624922732
Hair/Body,Europe,Skincare,Brand A,Soap,5748,58,-0.1428412130497986,0.12275275893848547,0.05491063877863025,0.30137315270707926
Hair/Body,Europe,Skincare,Brand A,Lotion,6244,43,-0.05988475429389578,0.28695259697841813,0.05821706643282466,0.49517849638141914
Hair/Body,Europe,Skincare,Brand B,Deodorant,3830,21,-0.11151730515659955,0.255475385403804,0.06619291265509994,0.24839323240598932
Hair/Body,Europe,Skincare,Brand B,Shampoo,8417,26,-0.12431140327823811,0.1918896870802485,0.09024088990429499,0.41234516249761954
Hair/Body,Europe,Skincare,Brand C,Lotion,5194,59,-0.02648750070409006,0.12912870445094496,0.09798523786885746,0.3840301794733283
Hair/Body,Europe,Skincare,Brand C,Shampoo,4607,38,-0.14937521958917446,0.10339729868199277,0.06125772624335388,0.4619909604235447
Hair/Body,Europe,Skincare,Brand D,Cream,2302,23,-0.01426976193765675,0.184068268562532,0.05356047563846235,0.33747403113389485
Hair/Body,Europe,Skincare,Brand D,Shampoo,3360,38,-0.028507509541034926,0.2925033016987866,0.05399882280373247,0.2554390100817455
Hair/Body,Europe,Skincare,Brand E,Shampoo,6179,31,-0.13766403974996416,0.22114778789981698,0.08807367067321016,0.32935207979361725
Hair/Body,Europe,Skincare,Brand E,Deodorant,2523,49,-0.04964925286637474,0.11269649753266074,0.05752136487931678,0.27317595043541953
Hair/Body,Asia,Hair,Brand A,Shampoo,2254,31,-0.06660646038855111,0.264735996896173,0.054774946399353916,0.3684305172370001
Hair/Body,Asia,Hair,Brand A,Cream,9165,59,-0.07106658164614839,0.18112805998185239,0.05118281735701402,0.2461049154221507
Hair/Body,Asia,Hair,Brand B,Shampoo,3517,42,-0.07280024008987632,0.11183646192786378,0.08173746180609129,0.27748791456644195
Hair/Body,Asia,Hair,Brand B,Soap,2320,47,-0.0867666729997005,0.256202106362693,0.07841714854006918,0.2530089376243295
Hair/Body,Asia,Hair,Brand C,Lotion,8638,44,-0.002714789054246186,0.24757816837798247,0.0824615717521314,0.21882914918287902
Hair/Body,Asia,Hair,Brand C,Shampoo,3535,16,-0.07872261984560511,0.24906163919047905,0.08720846584170923,0.2805220346857374
Hair/Body,Asia,Hair,Brand D,Soap,8084,46,-0.07537700152476608,0.24321526758565154,0.057266249743978086,0.4508855811542105
Hair/Body,Asia,Hair,Brand D,Conditioner,3862,41,-0.12047226538754377,0.11297334068443582,0.08485273046814032,0.44041412286228054
Hair/Body,Asia,Hair,Brand E,Shampoo,4273,44,-0.14028057115714998,0.18993169596703463,0.06066087714864499,0.45078416777011576
Hair/Body,Asia,Hair,Brand E,Cream,3252,25,-0.1163484104615245,0.24025155897822037,0.060219735992375956,0.3462507241972361
Hair/Body,Asia,Body,Brand A,Body Wash,6097,58,-0.09552927873422387,0.111421201947449,0.07765320188171107,0.4540113118188616
Hair/Body,Asia,Body,Brand A,Deodorant,6648,56,-0.053790150921021754,0.12748507690832347,0.06774076702075885,0.4959432070675955
Hair/Body,Asia,Body,Brand B,Perfume,4828,43,-0.02331147390115562,0.1805371215305801,0.08767177307821579,0.2974668035021824
Hair/Body,Asia,Body,Brand B,Lotion,6206,15,-0.1400442164002425,0.1693477862377048,0.09853864055065137,0.30443429450092185
Hair/Body,Asia,Body,Brand C,Deodorant,8830,30,-0.06253239084082694,0.10653129107096662,0.056925965688757366,0.3339818386131693
Hair/Body,Asia,Body,Brand C,Body Wash,7948,51,-0.09288411444470816,0.19210427618002962,0.0740097762200603,0.3437468957599627
Hair/Body,Asia,Body,Brand D,Lotion,3592,23,-0.018669418754891726,0.15252335178034226,0.06827867092898084,0.20523577406224913
Hair/Body,Asia,Body,Brand D,Deodorant,4341,23,-0.04950772825237622,0.12778493979228528,0.07640914922472652,0.3528334354840138
Hair/Body,Asia,Body,Brand E,Shampoo,5421,49,-0.027908813722346063,0.2989095832402725,0.07371404457128941,0.47895248589026157
Hair/Body,Asia,Body,Brand E,Deodorant,1801,58,-0.021226923254696717,0.11709516838760614,0.07941367564508169,0.4336073641889815
Hair/Body,Asia,Fragrance,Brand A,Shampoo,6586,13,-0.13127853334360345,0.28702213978384783,0.05271522631425573,0.23073235533437442
Hair/Body,Asia,Fragrance,Brand A,Lotion,3108,12,-0.029570076043081456,0.13970552929099161,0.06388367319139483,0.35402358008533225
Hair/Body,Asia,Fragrance,Brand B,Cream,1378,55,-0.08654778817010597,0.2695224142849684,0.07597248889174468,0.2941475572468928
Hair/Body,Asia,Fragrance,Brand B,Lotion,8850,19,-0.018562125311012728,0.10549746143923591,0.06815102573183399,0.4713379169229631
Hair/Body,Asia,Fragrance,Brand C,Body Wash,9937,10,-0.07152242377733053,0.1038450083716588,0.06090573199517523,0.440105526878806
Hair/Body,Asia,Fragrance,Brand C,Perfume,8423,47,-0.14801077413424285,0.14766533629463835,0.0769169006614938,0.33040097428331283
Hair/Body,Asia,Fragrance,Brand D,Deodorant,7393,53,-0.018262456206863065,0.1348042221662616,0.07338334308019841,0.36491614275629103
Hair/Body,Asia,Fragrance,Brand D,Conditioner,6470,14,-0.0016923372372813772,0.26352067417080716,0.06832414192553488,0.314091553000967
Hair/Body,Asia,Fragrance,Brand E,Cream,4572,19,-0.07875074897459512,0.22898922598285035,0.09118790105495603,0.2607617294394558
Hair/Body,Asia,Fragrance,Brand E,Conditioner,6405,49,-0.07040941167060662,0.14907382505184424,0.09421771069287488,0.3798490658889503
Hair/Body,Asia,Skincare,Brand A,Body Wash,6145,56,-0.06752601168026405,0.1405649980443779,0.055361928510867145,0.40969038597009055
Hair/Body,Asia,Skincare,Brand A,Cream,4741,27,-0.14198192087540304,0.29134875931189197,0.09636261582043588,0.28819763846821217
Hair/Body,Asia,Skincare,Brand B,Body Wash,4610,24,-0.10306417466358338,0.2433865156937285,0.07843089972487342,0.21417582063173107
Hair/Body,Asia,Skincare,Brand B,Soap,5629,56,-0.03196494862994777,0.15840894270775277,0.05278618191533945,0.3810167595555786
Hair/Body,Asia,Skincare,Brand C,Perfume,9750,23,-0.0012905133635052746,0.1466711731366554,0.07828857221924378,0.330029645961853
Hair/Body,Asia,Skincare,Brand C,Soap,9721,21,-0.13728725820751325,0.2506097282431816,0.05106120967801825,0.2798446460090191
Hair/Body,Asia,Skincare,Brand D,Cream,5139,12,-0.12279832960068644,0.1015008354977432,0.08085001958764983,0.28024081079066426
Hair/Body,Asia,Skincare,Brand D,Perfume,5454,33,-0.1019431100973405,0.18447605646956267,0.09886436626415913,0.3852135932206659
Hair/Body,Asia,Skincare,Brand E,Body Wash,9071,32,-0.14744320402035505,0.17723774547869725,0.09216187898699581,0.26984565322966036
Hair/Body,Asia,Skincare,Brand E,Shampoo,1861,28,-0.09357068839862048,0.27034768543757404,0.08148812567685342,0.3057675123805675
Hair/Body,South America,Hair,Brand A,Soap,3621,12,-0.021728300957890717,0.2969933737817837,0.09067080112986226,0.4375253976390394
Hair/Body,South America,Hair,Brand A,Conditioner,5167,59,-0.06162860322932219,0.2597157313640381,0.08984376370849831,0.2603331717106848
Hair/Body,South America,Hair,Brand B,Perfume,7059,22,-0.043473555435407166,0.22127846249011773,0.07755075737398606,0.38827142589193653
Hair/Body,South America,Hair,Brand B,Shampoo,8077,26,-0.08610638199813501,0.1545626339266466,0.08315423634331078,0.34848030652131445
Hair/Body,South America,Hair,Brand C,Shampoo,8476,36,-0.04192111835864666,0.11256620586974007,0.0740920491834671,0.2366925909527204
Hair/Body,South America,Hair,Brand C,Cream,4457,51,-0.12180333406351121,0.2717341427009005,0.06023858825323425,0.3941784708539138
Hair/Body,South America,Hair,Brand D,Soap,4443,42,-0.11341550715346534,0.22916894570872956,0.09415907880112412,0.2532331031205993
Hair/Body,South America,Hair,Brand D,Cream,5026,21,-0.006394075593515347,0.14010707681988904,0.06347375087811723,0.4332625160345936
Hair/Body,South America,Hair,Brand E,Cream,5765,52,-0.0063801757678202675,0.16539488638166527,0.09772312719581633,0.26079871834853136
Hair/Body,South America,Hair,Brand E,Conditioner,3744,10,-0.13440783713449522,0.1693249631563959,0.07213886803306092,0.23521756845620595
Hair/Body,South America,Body,Brand A,Body Wash,2927,42,-0.00033789902484601675,0.1297891902524303,0.08034307091062978,0.25460535972328635
Hair/Body,South America,Body,Brand A,Shampoo,4768,41,-0.09529623939908217,0.2066248661931281,0.06615222882006594,0.2725504618473189
Hair/Body,South America,Body,Brand B,Perfume,2047,27,-0.06538722234428013,0.21186997137670677,0.051069288631216535,0.4683602986552319
Hair/Body,South America,Body,Brand B,Body Wash,3020,10,-0.08411128480383412,0.1566350542258336,0.06464581828715049,0.25762508831403674
Hair/Body,South America,Body,Brand C,Cream,2896,45,-0.10763495027675413,0.17072527257916095,0.06973726445770674,0.49597292026950107
Hair/Body,South America,Body,Brand C,Soap,3693,41,-0.046471175744513246,0.1858628097640957,0.09481589857245218,0.3723985345210382
Hair/Body,South America,Body,Brand D,Deodorant,7294,55,-0.0520382378562559,0.27852649185071915,0.0892068462013397,0.25558411859330626
Hair/Body,South America,Body,Brand D,Conditioner,1601,42,-0.04209337663772483,0.20643335526825424,0.0697395929194083,0.3311800211296114
Hair/Body,South America,Body,Brand E,Soap,3679,18,-0.09677540592640094,0.18387440324126786,0.0896680312830273,0.2124887136494586
Hair/Body,South America,Body,Brand E,Perfume,7015,19,-0.01413718275951617,0.23828065313710045,0.0634180367874287,0.2590031396492131
Hair/Body,South America,Fragrance,Brand A,Lotion,4499,15,-0.04730033747822056,0.2602630727715478,0.053057721089977826,0.28669624214873374
Hair/Body,South America,Fragrance,Brand A,Cream,8927,58,-0.11651477871750388,0.24132382054643547,0.09380771457386648,0.28713408336855184
Hair/Body,South America,Fragrance,Brand B,Conditioner,2251,27,-0.09120469457706655,0.1322400411729649,0.09956431554364203,0.46561932277488854
Hair/Body,South America,Fragrance,Brand B,Soap,4687,53,-0.022271903228707007,0.1253647763419215,0.09475013554418196,0.4930351669030054
Hair/Body,South America,Fragrance,Brand C,Perfume,9104,32,-0.07504949294827232,0.1876843779971222,0.057283313625218026,0.27734680843089793
Hair/Body,South America,Fragrance,Brand C,Body Wash,4164,10,-0.06784782460964138,0.27139873920253094,0.07415027579395055,0.2256071572769841
Hair/Body,South America,Fragrance,Brand D,Conditioner,9476,14,-0.0440498607542915,0.25846136581683443,0.08407321063856513,0.3687996210712869
Hair/Body,South America,Fragrance,Brand D,Cream,8007,55,-0.06078112172000347,0.22740465828758663,0.07304592153370959,0.375555714857426
Hair/Body,South America,Fragrance,Brand E,Soap,1991,57,-0.023082566139124572,0.18738986598026297,0.08461227139576546,0.261204271730608
Hair/Body,South America,Fragrance,Brand E,Conditioner,7098,48,-0.08212470632655068,0.2533497403789581,0.0500032622050606,0.31514476730803215
Hair/Body,South America,Skincare,Brand A,Lotion,5120,11,-0.12260380474256902,0.2697358060946715,0.0942031847039025,0.430192608068644
Hair/Body,South America,Skincare,Brand A,Soap,2802,23,-0.04966174374066237,0.2449992478623955,0.05543026660163482,0.43798449362082187
Hair/Body,South America,Skincare,Brand B,Conditioner,8060,18,-0.14734260033153876,0.22932243831628435,0.07405676701130774,0.24745166221774967
Hair/Body,South America,Skincare,Brand B,Perfume,9354,51,-0.03344675911829839,0.15524663097816782,0.0833006914720773,0.25773425876610667
Hair/Body,South America,Skincare,Brand C,Shampoo,2241,29,-0.09351651570286909,0.25758334225650725,0.06088082937138394,0.3435415049544893
Hair/Body,South America,Skincare,Brand C,Perfume,5091,55,-0.06004410855155094,0.2639569363525527,0.05307027110472315,0.3075103877980274
Hair/Body,South America,Skincare,Brand D,Soap,3870,36,-0.021227777310872525,0.11634663133545112,0.07385111307209011,0.25176284372679864
Hair/Body,South America,Skincare,Brand D,Deodorant,2967,19,-0.1353866083376407,0.11102683817946102,0.0994522678317204,0.25094949142102535
Hair/Body,South America,Skincare,Brand E,Deodorant,2772,43,-0.051388819529029794,0.25648519947233495,0.07177298830838132,0.33417954846870673
Hair/Body,South America,Skincare,Brand E,Perfume,6095,26,-0.08022175746415665,0.25270497010095205,0.09332660456203092,0.3644943314111712
Hair/Body,Africa,Hair,Brand A,Soap,8409,15,-0.1405009642308175,0.24764167192118594,0.08846751184910043,0.3559858528959256
Hair/Body,Africa,Hair,Brand A,Deodorant,2534,14,-0.03230625371978477,0.16290665832193424,0.09435463007816582,0.4156185073370691
Hair/Body,Africa,Hair,Brand B,Soap,4815,28,-0.12290525503970831,0.23104230367947298,0.09999100505018425,0.47287455265458883
Hair/Body,Africa,Hair,Brand B,Perfume,1186,24,-0.01359471120896441,0.13355912991682772,0.06774000252840949,0.44501421118499335
Hair/Body,Africa,Hair,Brand C,Lotion,1018,25,-0.07591372702346609,0.21460510178120867,0.0727169802543972,0.29619519854881365
Hair/Body,Africa,Hair,Brand C,Body Wash,6085,53,-0.08008022382889024,0.10383262906387761,0.06490614317355095,0.2628805180702391
Hair/Body,Africa,Hair,Brand D,Deodorant,4568,37,-0.01962043874741054,0.18017167122443878,0.05007858224837951,0.2817182088303097
Hair/Body,Africa,Hair,Brand D,Shampoo,6702,13,-0.03170548510384541,0.11874520704190644,0.05868924106636972,0.4850618089283422
Hair/Body,Africa,Hair,Brand E,Deodorant,2034,10,-0.1292422301270915,0.2959724506931214,0.07247487329050276,0.23141416068044993
Hair/Body,Africa,Hair,Brand E,Lotion,3779,23,-0.05664238620049243,0.10003273247219889,0.06771551293031176,0.20912411816555293
Hair/Body,Africa,Body,Brand A,Conditioner,9779,33,-0.09357716561956014,0.12150013834540757,0.08005263367917807,0.3260517247677718
Hair/Body,Africa,Body,Brand A,Shampoo,9395,18,-0.05733033724968575,0.2754053611850189,0.07156753229139734,0.38543178359721103
Hair/Body,Africa,Body,Brand B,Lotion,8692,13,-0.04193457645660924,0.2930275402012136,0.07832544752371753,0.2045731591080031
Hair/Body,Africa,Body,Brand B,Perfume,5017,26,-0.009332517009775637,0.2847839984230438,0.06570162414822897,0.37159027175997505
Hair/Body,Africa,Body,Brand C,Deodorant,4140,41,-0.07269956820749218,0.12806428347451448,0.07975873770311911,0.20949925022815175
Hair/Body,Africa,Body,Brand C,Cream,8749,20,-0.04030275630134189,0.13593660674971073,0.08205711490280733,0.34226797328125846
Hair/Body,Africa,Body,Brand D,Body Wash,2191,39,-0.011404529679714503,0.22380332499875505,0.05477393741758745,0.25308345751610434
Hair/Body,Africa,Body,Brand D,Lotion,4067,23,-0.05733522792671436,0.2641300042320322,0.09301996798759768,0.4855572136687528
Hair/Body,Africa,Body,Brand E,Conditioner,4729,24,-0.1378000062355393,0.26168946139013005,0.08145219091990982,0.34543290178400465
Hair/Body,Africa,Body,Brand E,Perfume,9157,27,-0.011744907096991192,0.19580648851582777,0.05478733017064517,0.23302215881050392
Hair/Body,Africa,Fragrance,Brand A,Lotion,7844,16,-0.13112916724319826,0.16609487707250004,0.08132772770073361,0.342193783953224
Hair/Body,Africa,Fragrance,Brand A,Cream,1936,19,-0.028949168820405158,0.23501707730381605,0.07867823487837099,0.32110559637358127
Hair/Body,Africa,Fragrance,Brand B,Perfume,4558,37,-0.11343500830876335,0.23587416260031893,0.056032272153189455,0.31770965643563936
Hair/Body,Africa,Fragrance,Brand B,Body Wash,8273,29,-0.055600067637605555,0.1473806560117071,0.060940066344369576,0.23589622714651948
Hair/Body,Africa,Fragrance,Brand C,Deodorant,8051,24,-0.050505897735258265,0.11064449730212174,0.0645070257014088,0.4004137097691409
Hair/Body,Africa,Fragrance,Brand C,Soap,9750,13,-0.11603893047824035,0.2765930606221183,0.06033083110121604,0.21662420272979302
Hair/Body,Africa,Fragrance,Brand D,Lotion,9090,30,-0.0791100417535364,0.2678084620031691,0.0725224578739713,0.27563471013295376
Hair/Body,Africa,Fragrance,Brand D,Deodorant,8584,51,-0.032137379504786345,0.13244537168512333,0.08039812095580015,0.43662790688215913
Hair/Body,Africa,Fragrance,Brand E,Body Wash,5115,45,-0.13737289708741784,0.2851770114573122,0.06782805305704075,0.23865622963864222
