Portfolio,Geography,Category,Brand,Segment,Year_3_Sales,Year_3_Margin
Hair/Body,North America,Hair,Brand A,Body Wash,7838.681482286681,579.5313501299157
Hair/Body,North America,Hair,Brand A,Conditioner,4079.0696261477406,569.013273904102
Hair/Body,North America,Hair,Brand B,Soap,11420.443622666498,1848.4433960020897
Hair/Body,North America,Hair,Brand B,Lotion,6492.936281873044,468.4081261260852
Hair/Body,North America,Hair,Brand C,Cream,8866.85524987037,917.1833878915533
Hair/Body,North America,Hair,Brand C,Body Wash,9993.00981711022,513.622150569545
Hair/Body,North America,Hair,Brand D,Lotion,2567.8966218745577,107.83696984153461
Hair/Body,North America,Hair,Brand D,Shampoo,5445.431786547303,1002.4969388686426
Hair/Body,North America,Hair,Brand E,Shampoo,9752.797992493144,1176.8521964045497
Hair/Body,North America,Hair,Brand E,Body Wash,2027.8775453291776,239.64315978566663
Hair/Body,North America,Body,Brand A,Lotion,12014.524308403545,2060.584700382676
Hair/Body,North America,Body,Brand A,Conditioner,11210.621119742456,214.65975769915812
Hair/Body,North America,Body,Brand B,Soap,8661.821139605972,183.00220101561857
Hair/Body,North America,Body,Brand B,Cream,8062.772367632379,491.79504045243357
Hair/Body,North America,Body,Brand C,Soap,3958.5216854238774,823.8150597224304
Hair/Body,North America,Body,Brand C,Shampoo,1574.6970688867675,61.573441220283954
Hair/Body,North America,Body,Brand D,Soap,8089.536899321661,781.5499418038792
Hair/Body,North America,Body,Brand D,Perfume,9367.305975276573,874.1883922036811
Hair/Body,North America,Body,Brand E,Conditioner,8036.794585244438,868.1558092095397
Hair/Body,North America,Body,Brand E,Lotion,13032.248096291774,327.93296629805434
Hair/Body,North America,Fragrance,Brand A,Body Wash,5370.4834319299825,637.162310027542
Hair/Body,North America,Fragrance,Brand A,Deodorant,7284.642352925153,678.2660188965676
Hair/Body,North America,Fragrance,Brand B,Conditioner,4036.506846078699,691.2861165423036
Hair/Body,North America,Fragrance,Brand B,Perfume,7964.63180478625,1144.193532819306
Hair/Body,North America,Fragrance,Brand C,Perfume,1833.217711880954,161.54732327401297
Hair/Body,North America,Fragrance,Brand C,Lotion,3224.7643995798107,174.4548398782954
Hair/Body,North America,Fragrance,Brand D,Lotion,7078.86008290176,125.71142590188688
Hair/Body,North America,Fragrance,Brand D,Perfume,5605.597556539142,337.33071737337474
Hair/Body,North America,Fragrance,Brand E,Deodorant,11490.167152264577,203.84008197406405
Hair/Body,North America,Fragrance,Brand E,Perfume,2125.132448584021,212.3386520708205
Hair/Body,North America,Skincare,Brand A,Cream,10328.816310169417,362.1177771319426
Hair/Body,North America,Skincare,Brand A,Lotion,5003.437895369972,458.75515695082436
Hair/Body,North America,Skincare,Brand B,Perfume,4064.2968903199644,258.32722314170644
Hair/Body,North America,Skincare,Brand B,Soap,6004.038999411144,412.3351333228986
