Portfolio,Geography,Category,Brand,Segment,Sales,Margin,Min_Trend,Max_Trend,Min_Contribution,Max_Contribution,Potential_Max_Sales,Potential_Max_Margin
Hair/Body,North America,Hair,Brand A,Cream,7023,58,-0.0444675765996035,0.2886559098335881,0.0719553639971269,0.4750249474199559,9050.23045476129,2493.4694426286496
Hair/Body,North America,Hair,Brand A,Shampoo,7601,55,-0.0739975214438845,0.1193716952029627,0.0873129189617843,0.2949868463515149,8508.344255237718,1380.417301739082
Hair/Body,North America,Hair,Brand B,Shampoo,5792,12,-0.0107720989548782,0.2332069552405767,0.0696869372285672,0.4683948330152318,7142.73468475342,401.4744023924619
Hair/Body,North America,Hair,Brand B,Body Wash,9678,35,-0.0344836012795229,0.2156043571897285,0.0649653160632999,0.2493539911681351,11764.618968882194,1026.7441430620938
Hair/Body,North America,Hair,Brand C,Cream,1112,21,-0.1289634373495581,0.2327311036671431,0.0905030204733913,0.203140257186773,1370.796987277863,58.47745103476053
Hair/Body,North America,Hair,Brand C,Soap,6998,43,-0.0292173167467731,0.2921738603360605,0.0896582970220388,0.4977211517986777,9042.632674631752,1935.3051065473314
Hair/Body,North America,Hair,Brand D,Deodorant,3973,58,-0.0110470247935551,0.295460335186857,0.0554222426491654,0.2175039311878664,5146.863911697383,649.2886177682215
Hair/Body,North America,Hair,Brand D,Lotion,1465,16,-0.0157435812361307,0.2015152469668975,0.0560947006992321,0.3912050301246502,1760.2198368065049,110.1770966854233
Hair/Body,North America,Hair,Brand E,Body Wash,9787,42,-0.0993533631111045,0.2527649800564374,0.072855193189555,0.4574944265519197,12260.810859812353,2355.886106015989
Hair/Body,North America,Hair,Brand E,Conditioner,2577,34,-0.0830101855688755,0.251150921457569,0.0819769663156136,0.4912363681190701,3224.215924596155,538.5097210822969
Hair/Body,North America,Body,Brand A,Cream,4086,11,-0.1391341255733572,0.2439030329180676,0.0735598086171062,0.4570790405626826,5082.587792503225,255.54587869502743
Hair/Body,North America,Body,Brand A,Lotion,1415,12,-0.0778605144038693,0.1556976411069625,0.0972700085564571,0.2435622593348006,1635.312162166352,47.79603899218974
Hair/Body,North America,Body,Brand B,Cream,1936,37,-0.1228183690807293,0.2300943622023592,0.069479393993154,0.2431085351240809,2381.4626852237675,214.21294479724182
Hair/Body,North America,Body,Brand B,Deodorant,5916,45,-0.0437921798189624,0.2049750668746109,0.0641813628148036,0.3072147745029916,7128.632495630198,985.5095510968783
Hair/Body,North America,Body,Brand C,Soap,7863,19,-0.0789608234908947,0.2372013666167458,0.0931941139211502,0.2125438304910262,9728.114345707472,392.8536304333602
Hair/Body,North America,Body,Brand C,Shampoo,4446,52,-0.1118031994928379,0.2737911423867555,0.0571877256124945,0.4025687158302228,5663.275419051514,1185.5259066770263
Hair/Body,North America,Body,Brand D,Lotion,5289,15,-0.0047261538285791,0.2408571814696503,0.0924264993462889,0.4540232505865635,6562.8936327929805,446.9559450621794
Hair/Body,North America,Body,Brand D,Body Wash,8632,32,-0.0190838811143646,0.2489508466774861,0.062068819396528,0.3770587055334889,10780.94370852006,1300.8155773324754
Hair/Body,North America,Body,Brand E,Deodorant,3881,31,-0.0207766455188694,0.2648027090342292,0.0736807636962056,0.4808834399402764,4908.699313761843,731.7587856066234
Hair/Body,North America,Body,Brand E,Soap,6229,53,-0.0335966702881962,0.187170681860694,0.0582358464293517,0.2686821037198874,7394.886177310263,1053.0429946910838
Hair/Body,North America,Fragrance,Brand A,Body Wash,3178,10,-0.1278143744639859,0.186609350931355,0.0591740860568669,0.2492234279873915,3771.0445172598456,93.98326416845568
Hair/Body,North America,Fragrance,Brand A,Shampoo,3582,36,-0.0253163680893623,0.1834973462590343,0.0741201779718349,0.3502440747337954,4239.2874942998615,534.5227173497777
Hair/Body,North America,Fragrance,Brand B,Deodorant,7089,11,-0.0811495251687158,0.1510030191771701,0.0611445651192479,0.4703176660136697,8159.460402946958,422.12922099094675
Hair/Body,North America,Fragrance,Brand B,Shampoo,5655,32,-0.1367802368143671,0.215223463080361,0.0956696265512153,0.2170546205102627,6872.088683719442,477.3179524344302
Hair/Body,North America,Fragrance,Brand C,Cream,5995,59,-0.1245021202787769,0.1957133466790673,0.0506227356351366,0.2156744326709076,7168.301513341008,912.1514236412598
Hair/Body,North America,Fragrance,Brand C,Soap,4807,56,-0.0046762327963794,0.2292973452483571,0.0933370815072408,0.3257249239351119,5909.232338608853,1077.8791822446324
Hair/Body,North America,Fragrance,Brand D,Deodorant,7599,22,-0.1420470876378833,0.2895332012430488,0.0797455476597131,0.259136099924597,9799.16279624593,558.6497024999833
Hair/Body,North America,Fragrance,Brand D,Lotion,1737,25,-0.089536282715283,0.2862488260960008,0.094909130322651,0.2829015476840923,2234.2142109287533,158.01566453238436
Hair/Body,North America,Fragrance,Brand E,Conditioner,7884,56,-0.0182555690783985,0.1937384540419593,0.0907304337632486,0.4591779774016629,9411.433971666807,2420.053000713188
Hair/Body,North America,Fragrance,Brand E,Shampoo,9091,20,-0.0233003129343532,0.2530734558303159,0.056610593308904,0.3046764328308409,11391.6907869534,694.1559425761834
Hair/Body,North America,Skincare,Brand A,Body Wash,2741,49,-0.0892099545973627,0.264724048586475,0.0604861283862675,0.4450017294853789,3466.6086171755283,755.8969467450937
Hair/Body,North America,Skincare,Brand A,Shampoo,6401,22,-0.1250684511942442,0.1575151497132004,0.0706813674802255,0.2529785407729755,7409.254473314196,412.3641246724266
Hair/Body,North America,Skincare,Brand B,Perfume,6782,53,-0.1193681593636342,0.1176057240698071,0.0923273111053365,0.4636627466398749,7579.602020641432,1862.6209184037089
Hair/Body,North America,Skincare,Brand B,Conditioner,9064,55,-0.0595765501750903,0.2391720513224429,0.0844834041439126,0.3160085023039026,11231.855473186622,1952.1490043965778
Hair/Body,North America,Skincare,Brand C,Soap,6935,49,-0.0806380147441276,0.2962804282093388,0.0864186625243492,0.4525182307974947,8989.704769631764,1993.3225958953271
